 s mph hp 
 -INF 40.10 -INF 
 -INF 40.20 -INF 
 3.00 40.30 57.54 
 3.01 40.40 57.74 
 -INF 40.50 -INF 
 -INF 40.60 -INF 
 3.02 40.70 58.34 
 3.03 40.80 58.56 
 -INF 40.90 -INF 
 3.04 41.00 59.01 
 3.05 41.10 59.24 
 -INF 41.20 -INF 
 -INF 41.30 -INF 
 3.06 41.40 59.96 
 3.07 41.50 60.21 
 -INF 41.60 -INF 
 -INF 41.70 -INF 
 3.08 41.80 60.97 
 3.09 41.90 61.23 
 -INF 42.00 -INF 
 3.10 42.10 61.76 
 3.11 42.20 62.02 
 -INF 42.30 -INF 
 -INF 42.40 -INF 
 3.12 42.50 62.81 
 3.13 42.60 63.06 
 -INF 42.70 -INF 
 -INF 42.80 -INF 
 3.14 42.90 63.82 
 3.15 43.00 64.06 
 -INF 43.10 -INF 
 -INF 43.20 -INF 
 3.16 43.30 64.79 
 3.17 43.40 65.02 
 -INF 43.50 -INF 
 -INF 43.60 -INF 
 3.18 43.70 65.70 
 3.19 43.80 65.91 
 -INF 43.90 -INF 
 -INF 44.00 -INF 
 3.20 44.10 66.53 
 3.21 44.20 66.72 
 -INF 44.30 -INF 
 3.22 44.40 67.10 
 3.23 44.50 67.27 
 -INF 44.60 -INF 
 -INF 44.70 -INF 
 3.24 44.80 67.77 
 3.25 44.90 67.90 
 -INF 45.00 -INF 
 -INF 45.10 -INF 
 3.26 45.20 68.31 
 3.27 45.30 68.41 
 -INF 45.40 -INF 
 -INF 45.50 -INF 
 3.28 45.60 68.72 
 3.29 45.70 68.78 
 -INF 45.80 -INF 
 -INF 45.90 -INF 
 3.30 46.00 68.96 
 3.31 46.10 68.99 
 -INF 46.20 -INF 
 -INF 46.30 -INF 
 3.32 46.40 69.03 
 3.33 46.50 69.01 
 -INF 46.60 -INF 
 -INF 46.70 -INF 
 3.34 46.80 68.91 
 3.35 46.90 68.84 
 -INF 47.00 -INF 
 3.36 47.10 68.70 
 3.37 47.20 68.58 
 -INF 47.30 -INF 
 -INF 47.40 -INF 
 3.38 47.50 68.23 
 3.39 47.60 68.08 
 -INF 47.70 -INF 
 -INF 47.80 -INF 
 3.40 47.90 67.61 
 3.41 48.00 67.42 
 -INF 48.10 -INF 
 -INF 48.20 -INF 
 3.43 48.30 66.83 
 3.43 48.40 66.62 
 -INF 48.50 -INF 
 3.44 48.60 66.20 
 3.45 48.70 65.98 
 -INF 48.80 -INF 
 -INF 48.90 -INF 
 3.47 49.00 65.32 
 3.47 49.10 65.10 
 -INF 49.20 -INF 
 3.48 49.30 64.66 
 3.49 49.40 64.44 
 -INF 49.50 -INF 
 3.50 49.60 64.01 
 3.51 49.70 63.81 
 -INF 49.80 -INF 
 3.52 49.90 63.40 
 3.53 50.00 63.22 
 -INF 50.10 -INF 
 -INF 50.20 -INF 
 3.55 50.30 62.67 
 3.55 50.40 62.50 
 -INF 50.50 -INF 
 3.56 50.60 62.16 
 3.57 50.70 62.01 
 -INF 50.80 -INF 
 3.58 50.90 61.70 
 3.59 51.00 61.56 
 -INF 51.10 -INF 
 3.60 51.20 61.28 
 3.61 51.30 61.15 
 -INF 51.40 -INF 
 3.62 51.50 60.88 
 3.63 51.60 60.76 
 -INF 51.70 -INF 
 3.64 51.80 60.52 
 3.65 51.90 60.40 
 -INF 52.00 -INF 
 3.66 52.10 60.18 
 3.67 52.20 60.07 
 -INF 52.30 -INF 
 3.68 52.40 59.86 
 3.69 52.50 59.75 
 -INF 52.60 -INF 
 3.70 52.70 59.56 
 3.71 52.80 59.47 
 -INF 52.90 -INF 
 3.73 53.00 59.28 
 3.73 53.10 59.20 
 -INF 53.20 -INF 
 3.75 53.30 59.03 
 3.75 53.40 58.95 
 3.76 53.50 58.87 
 3.77 53.60 58.80 
 -INF 53.70 -INF 
 3.78 53.80 58.65 
 3.79 53.90 58.58 
 -INF 54.00 -INF 
 3.80 54.10 58.44 
 3.81 54.20 58.38 
 -INF 54.30 -INF 
 3.83 54.40 58.25 
 3.83 54.50 58.20 
 3.84 54.60 58.14 
 3.85 54.70 58.08 
 -INF 54.80 -INF 
 3.86 54.90 57.98 
 3.87 55.00 57.93 
 -INF 55.10 -INF 
 3.89 55.20 57.84 
 3.89 55.30 57.80 
 3.90 55.40 57.76 
 3.91 55.50 57.72 
 -INF 55.60 -INF 
 3.92 55.70 57.65 
 3.93 55.80 57.62 
 -INF 55.90 -INF 
 3.95 56.00 57.55 
 3.95 56.10 57.52 
 3.96 56.20 57.50 
 3.97 56.30 57.47 
 -INF 56.40 -INF 
 3.99 56.50 57.41 
 3.99 56.60 57.38 
 4.00 56.70 57.35 
 4.01 56.80 57.32 
 -INF 56.90 -INF 
 4.02 57.00 57.26 
 4.03 57.10 57.22 
 4.04 57.20 57.19 
 4.05 57.30 57.16 
 -INF 57.40 -INF 
 4.06 57.50 57.09 
 4.07 57.60 57.06 
 4.08 57.70 57.03 
 4.09 57.80 57.00 
 -INF 57.90 -INF 
 4.10 58.00 56.94 
 4.11 58.10 56.91 
 4.12 58.20 56.88 
 4.13 58.30 56.86 
 -INF 58.40 -INF 
 4.14 58.50 56.81 
 4.15 58.60 56.79 
 4.16 58.70 56.77 
 4.17 58.80 56.76 
 -INF 58.90 -INF 
 4.19 59.00 56.73 
 4.19 59.10 56.71 
 4.20 59.20 56.70 
 4.21 59.30 56.69 
 -INF 59.40 -INF 
 4.23 59.50 56.67 
 4.24 59.60 56.66 
 4.24 59.70 56.66 
 4.25 59.80 56.65 
 4.26 59.90 56.65 
 4.27 60.00 56.65 
 -INF 60.10 -INF 
 4.29 60.20 56.65 
 4.29 60.30 56.66 
 4.30 60.40 56.67 
 4.31 60.50 56.68 
 -INF 60.60 -INF 
 4.33 60.70 56.70 
 4.34 60.80 56.71 
 4.34 60.90 56.73 
 4.35 61.00 56.74 
 4.36 61.10 56.76 
 4.37 61.20 56.77 
 -INF 61.30 -INF 
 4.39 61.40 56.81 
 4.40 61.50 56.83 
 4.40 61.60 56.85 
 4.41 61.70 56.87 
 4.42 61.80 56.90 
 4.43 61.90 56.92 
 -INF 62.00 -INF 
 4.45 62.10 56.97 
 4.46 62.20 57.00 
 4.47 62.30 57.03 
 4.47 62.40 57.05 
 4.48 62.50 57.08 
 4.49 62.60 57.09 
 -INF 62.70 -INF 
 4.51 62.80 57.11 
 4.52 62.90 57.10 
 4.53 63.00 57.08 
 4.53 63.10 57.04 
 4.54 63.20 56.99 
 4.55 63.30 56.90 
 4.56 63.40 56.81 
 4.57 63.50 56.68 
 -INF 63.60 -INF 
 4.59 63.70 56.38 
 4.60 63.80 56.20 
 4.61 63.90 56.00 
 4.61 64.00 55.79 
 4.62 64.10 55.57 
 4.63 64.20 55.35 
 4.64 64.30 55.13 
 4.65 64.40 54.91 
 4.66 64.50 54.71 
 4.67 64.60 54.54 
 -INF 64.70 -INF 
 4.69 64.80 54.26 
 4.70 64.90 54.16 
 4.71 65.00 54.11 
 4.72 65.10 54.08 
 4.73 65.20 54.09 
 4.74 65.30 54.11 
 4.75 65.40 54.17 
 4.76 65.50 54.23 
 4.77 65.60 54.29 
 4.78 65.70 54.36 
 4.79 65.80 54.41 
 4.80 65.90 54.45 
 4.81 66.00 54.47 
 4.82 66.10 54.46 
 4.82 66.20 54.44 
 4.83 66.30 54.38 
 4.84 66.40 54.31 
 4.85 66.50 54.21 
 4.86 66.60 54.09 
 4.87 66.70 53.96 
 4.88 66.80 53.82 
 4.89 66.90 53.67 
 4.90 67.00 53.52 
 4.91 67.10 53.37 
 4.92 67.20 53.24 
 4.93 67.30 53.12 
 4.94 67.40 53.01 
 4.95 67.50 52.92 
 4.96 67.60 52.85 
 4.97 67.70 52.79 
 4.98 67.80 52.75 
 5.00 67.90 52.72 
 5.01 68.00 52.69 
 5.02 68.10 52.67 
 5.03 68.20 52.65 
 5.04 68.30 52.63 
 5.05 68.40 52.61 
 5.06 68.50 52.59 
 5.07 68.60 52.56 
 5.08 68.70 52.53 
 5.09 68.80 52.49 
 5.10 68.90 52.45 
 5.11 69.00 52.40 
 5.12 69.10 52.35 
 5.13 69.20 52.29 
 5.14 69.30 52.22 
 5.15 69.40 52.15 
 5.16 69.50 52.08 
 5.17 69.60 51.99 
 5.18 69.70 51.90 
 5.20 69.80 51.80 
 5.21 69.90 51.70 
 5.22 70.00 51.60 
 5.23 70.10 51.49 
 5.24 70.20 51.37 
 5.25 70.30 51.26 
 5.26 70.40 51.15 
 5.27 70.50 51.03 
 5.28 70.60 50.91 
 5.29 70.70 50.80 
 5.30 70.80 50.68 
 5.32 70.90 50.56 
 5.33 71.00 50.43 
 5.34 71.10 50.31 
 5.35 71.20 50.19 
 5.36 71.30 50.07 
 5.37 71.40 49.96 
 5.39 71.50 49.85 
 5.40 71.60 49.76 
 5.41 71.70 49.68 
 5.42 71.80 49.61 
 5.43 71.90 49.57 
 5.44 72.00 49.54 
 5.45 72.10 49.55 
 5.47 72.20 49.58 
 5.48 72.30 49.63 
 5.49 72.40 49.71 
 5.50 72.50 49.78 
 5.51 72.60 49.86 
 5.53 72.70 49.94 
 5.54 72.80 50.00 
 5.55 72.90 50.05 
 5.56 73.00 50.09 
 5.57 73.10 50.09 
 5.58 73.20 50.09 
 5.60 73.30 50.07 
 5.61 73.40 50.04 
 5.62 73.50 50.00 
 5.63 73.60 49.96 
 5.64 73.70 49.92 
 5.66 73.80 49.90 
 5.67 73.90 49.88 
 5.68 74.00 49.87 
 5.69 74.10 49.87 
 5.70 74.20 49.87 
 5.72 74.30 49.86 
 5.73 74.40 49.83 
 5.74 74.50 49.79 
 5.75 74.60 49.69 
 5.76 74.70 49.59 
 5.78 74.80 49.44 
 5.79 74.90 49.25 
 5.80 75.00 49.03 
 5.81 75.10 48.78 
 5.83 75.20 48.52 
 5.84 75.30 48.26 
 5.85 75.40 48.01 
 5.86 75.50 47.78 
 5.88 75.60 47.59 
 5.89 75.70 47.43 
 5.90 75.80 47.29 
 5.92 75.90 47.19 
 5.93 76.00 47.10 
 5.94 76.10 47.02 
 5.96 76.20 46.94 
 5.97 76.30 46.86 
 5.98 76.40 46.76 
 6.00 76.50 46.64 
 6.01 76.60 46.50 
 6.02 76.70 46.34 
 6.04 76.80 46.16 
 6.05 76.90 45.97 
 6.06 77.00 45.78 
 6.08 77.10 45.58 
 6.09 77.20 45.37 
 6.10 77.30 45.16 
 6.12 77.40 44.97 
 6.13 77.50 44.79 
 6.15 77.60 44.64 
 6.16 77.70 44.50 
 6.18 77.80 44.38 
 6.19 77.90 44.29 
 6.20 78.00 44.20 
 6.22 78.10 44.14 
 6.23 78.20 44.10 
 6.25 78.30 44.09 
 6.26 78.40 44.09 
 6.28 78.50 44.12 
 6.29 78.60 44.16 
 6.31 78.70 44.22 
 6.32 78.80 44.27 
 6.33 78.90 44.34 
 6.35 79.00 44.40 
 6.36 79.10 44.46 
 6.38 79.20 44.52 
 6.39 79.30 44.55 
 6.41 79.40 44.57 
 6.42 79.50 44.56 
 6.44 79.60 44.52 
 6.45 79.70 44.42 
 6.47 79.80 44.29 
 6.48 79.90 44.13 
 6.50 80.00 43.88 
 6.51 80.10 43.60 
 6.53 80.20 43.28 
 6.54 80.30 42.92 
 6.56 80.40 42.56 
 6.57 80.50 42.30 
 6.59 80.60 42.08 
 6.60 80.70 41.90 
 6.62 80.80 41.80 
 6.64 80.90 41.83 
 6.65 81.00 41.95 
 6.67 81.10 42.12 
 6.69 81.20 42.31 
 6.70 81.30 42.50 
 6.72 81.40 42.67 
 6.73 81.50 42.81 
 6.75 81.60 42.89 
 6.76 81.70 42.89 
 6.78 81.80 42.82 
 6.80 81.90 42.67 
 6.81 82.00 42.49 
 6.83 82.10 42.28 
 6.84 82.20 42.05 
 6.86 82.30 41.77 
 6.88 82.40 41.52 
 6.89 82.50 41.32 
 6.91 82.60 41.17 
 6.93 82.70 41.06 
 6.94 82.80 41.00 
 6.96 82.90 40.97 
 6.98 83.00 40.98 
 6.99 83.10 41.02 
 7.01 83.20 41.07 
 7.03 83.30 41.12 
 7.04 83.40 41.15 
 7.06 83.50 41.15 
 7.08 83.60 41.12 
 7.09 83.70 41.05 
 7.11 83.80 40.94 
 7.13 83.90 40.79 
 7.15 84.00 40.61 
 7.16 84.10 40.41 
 7.18 84.20 40.21 
 7.20 84.30 40.01 
 7.21 84.40 39.83 
 7.23 84.50 39.67 
 7.25 84.60 39.54 
 7.27 84.70 39.47 
 7.29 84.80 39.45 
 7.30 84.90 39.48 
 7.32 85.00 39.57 
 7.34 85.10 39.71 
 7.36 85.20 39.88 
 7.38 85.30 40.06 
 7.39 85.40 40.24 
 7.41 85.50 40.39 
 7.43 85.60 40.50 
 7.45 85.70 40.57 
 7.47 85.80 40.60 
 7.48 85.90 40.59 
 7.50 86.00 40.56 
 7.52 86.10 40.52 
 7.54 86.20 40.48 
 7.55 86.30 40.45 
 7.57 86.40 40.42 
 7.59 86.50 40.35 
 7.61 86.60 40.24 
 7.62 86.70 40.06 
 7.64 86.80 39.77 
 7.66 86.90 39.38 
 7.68 87.00 38.94 
 7.70 87.10 38.49 
 7.72 87.20 38.14 
 7.74 87.30 37.89 
 7.76 87.40 37.79 
 7.78 87.50 37.98 
 7.80 87.60 38.34 
 7.82 87.70 38.80 
 7.84 87.80 39.25 
 7.85 87.90 39.66 
 7.87 88.00 39.97 
 7.89 88.10 40.10 
 7.91 88.20 40.11 
 7.93 88.30 40.00 
 7.95 88.40 39.83 
 7.97 88.50 39.65 
 7.99 88.60 39.55 
 8.00 88.70 39.54 
 8.02 88.80 39.59 
 8.04 88.90 39.68 
 8.06 89.00 39.72 
 8.08 89.10 39.66 
 8.10 89.20 39.45 
 8.12 89.30 39.08 
 8.14 89.40 38.57 
 8.16 89.50 37.90 
 8.18 89.60 37.32 
 8.19 89.70 36.88 
 8.22 89.80 36.50 
 8.24 89.90 36.34 
 8.26 90.00 36.38 
 8.28 90.10 36.50 
 8.30 90.20 36.64 
 8.32 90.30 36.76 
 8.34 90.40 36.85 
 8.37 90.50 36.92 
 8.39 90.60 36.99 
 8.41 90.70 37.09 
 8.43 90.80 37.21 
 8.45 90.90 37.33 
 8.47 91.00 37.36 
 8.49 91.10 37.29 
 8.51 91.20 37.07 
 8.53 91.30 36.70 
 8.55 91.40 36.27 
 8.57 91.50 35.87 
 8.60 91.60 35.56 
 8.62 91.70 35.45 
 8.64 91.80 35.61 
 8.67 91.90 35.89 
 8.69 92.00 36.17 
 8.71 92.10 36.32 
 8.73 92.20 36.29 
 8.75 92.30 36.07 
 8.77 92.40 35.70 
 8.80 92.50 35.27 
 8.82 92.60 34.98 
 8.84 92.70 35.03 
 8.87 92.80 35.41 
 8.89 92.90 35.99 
 8.91 93.00 36.65 
 8.93 93.10 37.26 
 8.95 93.20 37.68 
 8.97 93.30 37.82 
 8.99 93.40 37.65 
 9.02 93.50 37.20 
 9.04 93.60 36.54 
 9.06 93.70 35.91 
 9.08 93.80 35.27 
 9.11 93.90 34.75 
 9.13 94.00 34.60 
 9.15 94.10 34.76 
 9.18 94.20 35.12 
 9.20 94.30 35.61 
 9.22 94.40 36.05 
 9.24 94.50 36.40 
 9.27 94.60 36.64 
 9.29 94.70 36.75 
 9.31 94.80 36.77 
 9.33 94.90 36.76 
 9.36 95.00 36.74 
 9.38 95.10 36.72 
 9.40 95.20 36.66 
 9.42 95.30 36.50 
 9.45 95.40 36.20 
 9.47 95.50 35.80 
 9.49 95.60 35.29 
 9.52 95.70 34.73 
 9.54 95.80 34.26 
 9.57 95.90 34.01 
 9.59 96.00 33.91 
 9.62 96.10 33.92 
 9.64 96.20 33.90 
 9.67 96.30 33.69 
 9.69 96.40 33.28 
 9.71 96.50 32.76 
 9.74 96.60 32.20 
 9.77 96.70 31.74 
 9.80 96.80 31.58 
 9.83 96.90 31.86 
 9.85 97.00 32.35 
 9.88 97.10 32.93 
 9.90 97.20 33.60 
 9.93 97.30 34.09 
 9.95 97.40 34.38 
 9.98 97.50 34.38 
 10.00 97.60 33.99 
 10.03 97.70 33.29 
 10.05 97.80 32.24 
 10.08 97.90 31.24 
 10.10 98.00 30.52 
 10.14 98.10 30.03 
 10.17 98.20 30.29 
 10.20 98.30 30.75 
 10.23 98.40 31.04 
 10.26 98.50 31.04 
 10.28 98.60 30.75 
 10.31 98.70 30.31 
 10.35 98.80 30.13 
 10.38 98.90 30.56 
 10.40 99.00 31.37 
 10.43 99.10 32.24 
 10.46 99.20 32.95 
 10.48 99.30 33.30 
 10.51 99.40 33.33 
 10.54 99.50 33.18 
 10.56 99.60 33.04 
 10.59 99.70 33.05 
 10.62 99.80 33.19 
 10.64 99.90 33.37 
 10.67 100.00 33.48 
 10.70 100.10 33.46 
 10.72 100.20 33.30 
 10.75 100.30 33.03 
 10.78 100.40 32.75 
 10.80 100.50 32.36 
 10.83 100.60 31.84 
 10.86 100.70 31.09 
 10.89 100.80 30.06 
 10.92 100.90 29.08 
 10.95 101.00 28.32 
 10.99 101.10 28.17 
 11.02 101.20 28.87 
 11.05 101.30 29.84 
 11.08 101.40 30.82 
 11.11 101.50 31.45 
 11.14 101.60 31.72 
 11.17 101.70 31.57 
 11.20 101.80 31.22 
 11.23 101.90 30.88 
 11.26 102.00 30.74 
 11.29 102.10 30.90 
 11.32 102.20 31.20 
 11.35 102.30 31.38 
 11.38 102.40 31.18 
 11.41 102.50 30.34 
 11.44 102.60 28.89 
 11.47 102.70 27.38 
 11.51 102.80 25.75 
 11.55 102.90 25.74 
 11.59 103.00 26.80 
 11.62 103.10 27.97 
 11.65 103.20 28.24 
 11.69 103.30 27.61 
 11.72 103.40 26.67 
 11.77 103.50 25.71 
 11.80 103.60 26.11 
 11.84 103.70 26.99 
 11.88 103.80 27.83 
 11.91 103.90 27.91 
 11.94 104.00 27.34 
 11.98 104.10 26.16 
 12.02 104.20 24.77 
 12.06 104.30 23.30 
 12.11 104.40 22.90 
 12.15 104.50 24.01 
 12.19 104.60 25.50 
 12.23 104.70 26.31 
 12.26 104.80 26.00 
 12.30 104.90 24.38 
 12.34 105.00 22.95 
 12.39 105.10 22.90 
 12.43 105.20 24.66 
 12.47 105.30 26.68 
 12.51 105.40 28.25 
 12.54 105.50 29.22 
 12.58 105.60 29.60 
 12.61 105.70 29.58 
 12.64 105.80 29.31 
 12.67 105.90 28.91 
 12.71 106.00 28.47 
 12.75 106.10 27.79 
 12.78 106.20 26.77 
 12.82 106.30 24.60 
 12.86 106.40 21.82 
 12.92 106.50 19.20 
 12.99 106.60 20.92 
 13.03 106.70 23.81 
 13.07 106.80 26.14 
 13.11 106.90 27.07 
 13.15 107.00 26.68 
 13.19 107.10 25.69 
 13.23 107.20 25.03 
 13.27 107.30 25.19 
 13.31 107.40 24.87 
 13.36 107.50 22.09 
 13.41 107.60 16.27 
 13.55 107.70 16.78 
 13.60 107.80 20.45 
 13.66 107.90 18.61 
 13.73 108.00 12.32 
 13.88 108.10 17.50 
 13.93 108.20 18.65 
 13.99 108.30 17.30 
 14.09 108.40 15.99 
 14.16 108.50 16.70 
 14.23 108.60 16.03 
 14.31 108.70 14.02 
 14.41 108.80 15.53 
 14.48 108.90 16.73 
 14.60 109.00 9.19 
 14.77 109.10 20.12 
 14.80 109.20 22.78 
 14.83 109.30 22.77 
 14.90 109.40 15.07 
 15.09 109.50 18.51 
 15.12 109.60 19.37 
 15.22 109.70 10.48 
 15.54 109.80 8.46 
 15.70 109.90 19.00 
 15.74 110.00 18.61 
 15.93 110.10 6.04 
 16.31 110.20 16.35 
 16.40 110.30 12.42 
 16.59 110.40 16.13 
 16.62 110.50 15.70 

